Car Brand,Car Model,Year,Status,Price,Engine displacement (cc),Uploader phone number,Photo URL,Description
雙龍, MUSSO,2022,available,"$242,000",2157cc,Jason,https://djlfajk23a.28car.com/image/pic.gif,新改款農夫車、日本六速加減波箱、可調較四驅模式、低油耗、適合...
福士, GOLF GTI MK7,2015,available,"$80,000",2000cc,Peter,https://djlfajk23a.28car.com/image/pic.gif,行貨 8萬公里 Stage2 少改 MST Intake 黑...
豐田, ESTIMA AERAS,2012,available,"$64,800",2362cc,Peter,https://djlfajk23a.28car.com/image/pic.gif,1字 7座 3電門 雙天窗 長牌費11月 珍珠白 Keyle...
奧迪, TTRS,2017,available,"$468,000",2500cc,Mr,https://djlfajk23a.28car.com/image/pic.gif,114萬牌簿 400匹 B&O音響 電子sport喉 Vir...
豐田, SIENTA,2017,sold,"$99,000",1500cc, ,https://djlfajk23a.28car.com/image/pic.gif,行貨0首、56000km原廠保養無需維修、keyless、雙... (由於已售
日產, XTRAIL PLUS,2018,available,"$148,000",1997cc,dicky,https://djlfajk23a.28car.com/image/pic.gif,0首、紅色、黑籠、天幕天窗、電尾冚、泊車感應...
迷你, MINI Cooper CLUBMAN,2018,available,"$158,000",1499cc,dicky,https://djlfajk23a.28car.com/image/pic.gif,灰色、黑籠、天幕天窗、泊車感應、後拍鏡頭、保養極佳、咪數極少...
保時捷, MACAN S,2018,available,"$488,000",2997cc,dicky,https://djlfajk23a.28car.com/image/pic.gif,"0首、藍色、米籠、泊車感應、後拍鏡頭、19""合金..."
豐田, HIACE,2014,sold,"$143,000",3000cc, ,https://djlfajk23a.28car.com/image/pic.gif,自動波、首次登記27/3/2014、25萬公里、操作精神、冷... (由於已售
任何, Z400,2021,available,"$43,800",399cc,Ken,https://djlfajk23a.28car.com/image/pic.gif,0首 13000km 寶麗來車cam Givi 尾箱 原廠死...
日產, NOTE EPOWER,2018,available,"$138,000",1200cc,kent,https://djlfajk23a.28car.com/image/pic.gif,未出牌 超慳油內燃引擎 29km/L 後泊鏡頭 越線警報 恆...
福士, PASSAT CC 2.0T,2014,available,"$42,000",2000cc,邱小姐,https://djlfajk23a.28car.com/image/pic.gif,行貨1首車天窗Engine-Start�ㄟ坁膝|turbo引擎...
本田, FREED HYBRID,2017,available,"$148,000",1500cc,呀田,https://djlfajk23a.28car.com/image/pic.gif,未出牌、罕有5座位、雙電動趟門、藍芽音響連泊車鏡頭、特大尾箱...
豐田, SIENTA,2017,available,"$118,000",1500cc,呀田,https://djlfajk23a.28car.com/image/pic.gif,1字、行貨、有牌費、原廠黑皮坐椅、頂級電話藍芽連泊車鏡頭 、...
任何, MODEL X P100D,2017,available,"$659,999",999cc,Kumar,https://djlfajk23a.28car.com/image/pic.gif,"1 Owner, Extended Warranty unt..."
日產, NOTE EPOWER,2021,available,"$165,000",1198cc,古生,https://djlfajk23a.28car.com/image/pic.gif,牌费至23年9月
本田, FREED GB5,2017,available,"$128,000",1500cc,Benny,https://djlfajk23a.28car.com/image/pic.gif,白色、1 手、行貨、遙控雙電趟門、車靚、免維修、藍芽車機、後...
寶馬, 316IA,2013,available,"$58,000",1600cc,呀田,https://djlfajk23a.28car.com/image/pic.gif,1字、有牌費、高級黑皮座椅、前後泊車感應、AUX插頭、USB...
任何, MODEL S 70 85,2015,available,"$218,000",888cc,陳,https://djlfajk23a.28car.com/image/pic.gif,0首 model S85、黑色、皮座、天窗、免匙啟動、牌至1...
豐田, RUMION 1.8S,2010,available,"$38,000",1797cc,uki,https://djlfajk23a.28car.com/image/pic.gif,已換兩條車軚偈油火咀皮帶等消耗品、有興趣歡迎約...
雙龍, MUSSO,2022,available,"$242,000",2157cc,Jason,https://djlfajk23a.28car.com/image/pic.gif,新改款農夫車、日本六速加減波箱、可調較四驅模式、低油耗、適合...
福士, GOLF GTI MK7,2015,available,"$80,000",2000cc,Peter,https://djlfajk23a.28car.com/image/pic.gif,行貨 8萬公里 Stage2 少改 MST Intake 黑...
豐田, ESTIMA AERAS,2012,available,"$64,800",2362cc,Peter,https://djlfajk23a.28car.com/image/pic.gif,1字 7座 3電門 雙天窗 長牌費11月 珍珠白 Keyle...
奧迪, TTRS,2017,available,"$468,000",2500cc,Mr,https://djlfajk23a.28car.com/image/pic.gif,114萬牌簿 400匹 B&O音響 電子sport喉 Vir...
豐田, SIENTA,2017,sold,"$99,000",1500cc, ,https://djlfajk23a.28car.com/image/pic.gif,行貨0首、56000km原廠保養無需維修、keyless、雙... (由於已售
日產, XTRAIL PLUS,2018,available,"$148,000",1997cc,dicky,https://djlfajk23a.28car.com/image/pic.gif,0首、紅色、黑籠、天幕天窗、電尾冚、泊車感應...
迷你, MINI Cooper CLUBMAN,2018,available,"$158,000",1499cc,dicky,https://djlfajk23a.28car.com/image/pic.gif,灰色、黑籠、天幕天窗、泊車感應、後拍鏡頭、保養極佳、咪數極少...
保時捷, MACAN S,2018,available,"$488,000",2997cc,dicky,https://djlfajk23a.28car.com/image/pic.gif,"0首、藍色、米籠、泊車感應、後拍鏡頭、19""合金..."
豐田, HIACE,2014,sold,"$143,000",3000cc, ,https://djlfajk23a.28car.com/image/pic.gif,自動波、首次登記27/3/2014、25萬公里、操作精神、冷... (由於已售
任何, Z400,2021,available,"$43,800",399cc,Ken,https://djlfajk23a.28car.com/image/pic.gif,0首 13000km 寶麗來車cam Givi 尾箱 原廠死...
日產, NOTE EPOWER,2018,available,"$138,000",1200cc,kent,https://djlfajk23a.28car.com/image/pic.gif,未出牌 超慳油內燃引擎 29km/L 後泊鏡頭 越線警報 恆...
福士, PASSAT CC 2.0T,2014,available,"$42,000",2000cc,邱小姐,https://djlfajk23a.28car.com/image/pic.gif,行貨1首車天窗Engine-Start�ㄟ坁膝|turbo引擎...
本田, FREED HYBRID,2017,available,"$148,000",1500cc,呀田,https://djlfajk23a.28car.com/image/pic.gif,未出牌、罕有5座位、雙電動趟門、藍芽音響連泊車鏡頭、特大尾箱...
豐田, SIENTA,2017,available,"$118,000",1500cc,呀田,https://djlfajk23a.28car.com/image/pic.gif,1字、行貨、有牌費、原廠黑皮坐椅、頂級電話藍芽連泊車鏡頭 、...
任何, MODEL X P100D,2017,available,"$659,999",999cc,Kumar,https://djlfajk23a.28car.com/image/pic.gif,"1 Owner, Extended Warranty unt..."
日產, NOTE EPOWER,2021,available,"$165,000",1198cc,古生,https://djlfajk23a.28car.com/image/pic.gif,牌费至23年9月
本田, FREED GB5,2017,available,"$128,000",1500cc,Benny,https://djlfajk23a.28car.com/image/pic.gif,白色、1 手、行貨、遙控雙電趟門、車靚、免維修、藍芽車機、後...
寶馬, 316IA,2013,available,"$58,000",1600cc,呀田,https://djlfajk23a.28car.com/image/pic.gif,1字、有牌費、高級黑皮座椅、前後泊車感應、AUX插頭、USB...
任何, MODEL S 70 85,2015,available,"$218,000",888cc,陳,https://djlfajk23a.28car.com/image/pic.gif,0首 model S85、黑色、皮座、天窗、免匙啟動、牌至1...
豐田, RUMION 1.8S,2010,available,"$38,000",1797cc,uki,https://djlfajk23a.28car.com/image/pic.gif,已換兩條車軚偈油火咀皮帶等消耗品、有興趣歡迎約...
雙龍, MUSSO,2022,available,"$242,000",2157cc,Jason,https://djlfajk23a.28car.com/image/pic.gif,新改款農夫車、日本六速加減波箱、可調較四驅模式、低油耗、適合...
福士, GOLF GTI MK7,2015,available,"$80,000",2000cc,Peter,https://djlfajk23a.28car.com/image/pic.gif,行貨 8萬公里 Stage2 少改 MST Intake 黑...
豐田, ESTIMA AERAS,2012,available,"$64,800",2362cc,Peter,https://djlfajk23a.28car.com/image/pic.gif,1字 7座 3電門 雙天窗 長牌費11月 珍珠白 Keyle...
奧迪, TTRS,2017,available,"$468,000",2500cc,Mr,https://djlfajk23a.28car.com/image/pic.gif,114萬牌簿 400匹 B&O音響 電子sport喉 Vir...
豐田, SIENTA,2017,sold,"$99,000",1500cc, ,https://djlfajk23a.28car.com/image/pic.gif,行貨0首、56000km原廠保養無需維修、keyless、雙... (由於已售
日產, XTRAIL PLUS,2018,available,"$148,000",1997cc,dicky,https://djlfajk23a.28car.com/image/pic.gif,0首、紅色、黑籠、天幕天窗、電尾冚、泊車感應...
迷你, MINI Cooper CLUBMAN,2018,available,"$158,000",1499cc,dicky,https://djlfajk23a.28car.com/image/pic.gif,灰色、黑籠、天幕天窗、泊車感應、後拍鏡頭、保養極佳、咪數極少...
保時捷, MACAN S,2018,available,"$488,000",2997cc,dicky,https://djlfajk23a.28car.com/image/pic.gif,"0首、藍色、米籠、泊車感應、後拍鏡頭、19""合金..."
豐田, HIACE,2014,sold,"$143,000",3000cc, ,https://djlfajk23a.28car.com/image/pic.gif,自動波、首次登記27/3/2014、25萬公里、操作精神、冷... (由於已售
任何, Z400,2021,available,"$43,800",399cc,Ken,https://djlfajk23a.28car.com/image/pic.gif,0首 13000km 寶麗來車cam Givi 尾箱 原廠死...
日產, NOTE EPOWER,2018,available,"$138,000",1200cc,kent,https://djlfajk23a.28car.com/image/pic.gif,未出牌 超慳油內燃引擎 29km/L 後泊鏡頭 越線警報 恆...
福士, PASSAT CC 2.0T,2014,available,"$42,000",2000cc,邱小姐,https://djlfajk23a.28car.com/image/pic.gif,行貨1首車天窗Engine-Start�ㄟ坁膝|turbo引擎...
本田, FREED HYBRID,2017,available,"$148,000",1500cc,呀田,https://djlfajk23a.28car.com/image/pic.gif,未出牌、罕有5座位、雙電動趟門、藍芽音響連泊車鏡頭、特大尾箱...
豐田, SIENTA,2017,available,"$118,000",1500cc,呀田,https://djlfajk23a.28car.com/image/pic.gif,1字、行貨、有牌費、原廠黑皮坐椅、頂級電話藍芽連泊車鏡頭 、...
任何, MODEL X P100D,2017,available,"$659,999",999cc,Kumar,https://djlfajk23a.28car.com/image/pic.gif,"1 Owner, Extended Warranty unt..."
日產, NOTE EPOWER,2021,available,"$165,000",1198cc,古生,https://djlfajk23a.28car.com/image/pic.gif,牌费至23年9月
本田, FREED GB5,2017,available,"$128,000",1500cc,Benny,https://djlfajk23a.28car.com/image/pic.gif,白色、1 手、行貨、遙控雙電趟門、車靚、免維修、藍芽車機、後...
寶馬, 316IA,2013,available,"$58,000",1600cc,呀田,https://djlfajk23a.28car.com/image/pic.gif,1字、有牌費、高級黑皮座椅、前後泊車感應、AUX插頭、USB...
任何, MODEL S 70 85,2015,available,"$218,000",888cc,陳,https://djlfajk23a.28car.com/image/pic.gif,0首 model S85、黑色、皮座、天窗、免匙啟動、牌至1...
豐田, RUMION 1.8S,2010,available,"$38,000",1797cc,uki,https://djlfajk23a.28car.com/image/pic.gif,已換兩條車軚偈油火咀皮帶等消耗品、有興趣歡迎約...
雙龍, MUSSO,2022,available,"$242,000",2157cc,Jason,https://djlfajk23a.28car.com/image/pic.gif,新改款農夫車、日本六速加減波箱、可調較四驅模式、低油耗、適合...
福士, GOLF GTI MK7,2015,available,"$80,000",2000cc,Peter,https://djlfajk23a.28car.com/image/pic.gif,行貨 8萬公里 Stage2 少改 MST Intake 黑...
豐田, ESTIMA AERAS,2012,available,"$64,800",2362cc,Peter,https://djlfajk23a.28car.com/image/pic.gif,1字 7座 3電門 雙天窗 長牌費11月 珍珠白 Keyle...
奧迪, TTRS,2017,available,"$468,000",2500cc,Mr,https://djlfajk23a.28car.com/image/pic.gif,114萬牌簿 400匹 B&O音響 電子sport喉 Vir...
豐田, SIENTA,2017,sold,"$99,000",1500cc, ,https://djlfajk23a.28car.com/image/pic.gif,行貨0首、56000km原廠保養無需維修、keyless、雙... (由於已售
日產, XTRAIL PLUS,2018,available,"$148,000",1997cc,dicky,https://djlfajk23a.28car.com/image/pic.gif,0首、紅色、黑籠、天幕天窗、電尾冚、泊車感應...
迷你, MINI Cooper CLUBMAN,2018,available,"$158,000",1499cc,dicky,https://djlfajk23a.28car.com/image/pic.gif,灰色、黑籠、天幕天窗、泊車感應、後拍鏡頭、保養極佳、咪數極少...
保時捷, MACAN S,2018,available,"$488,000",2997cc,dicky,https://djlfajk23a.28car.com/image/pic.gif,"0首、藍色、米籠、泊車感應、後拍鏡頭、19""合金..."
豐田, HIACE,2014,sold,"$143,000",3000cc, ,https://djlfajk23a.28car.com/image/pic.gif,自動波、首次登記27/3/2014、25萬公里、操作精神、冷... (由於已售
任何, Z400,2021,available,"$43,800",399cc,Ken,https://djlfajk23a.28car.com/image/pic.gif,0首 13000km 寶麗來車cam Givi 尾箱 原廠死...
日產, NOTE EPOWER,2018,available,"$138,000",1200cc,kent,https://djlfajk23a.28car.com/image/pic.gif,未出牌 超慳油內燃引擎 29km/L 後泊鏡頭 越線警報 恆...
福士, PASSAT CC 2.0T,2014,available,"$42,000",2000cc,邱小姐,https://djlfajk23a.28car.com/image/pic.gif,行貨1首車天窗Engine-Start�ㄟ坁膝|turbo引擎...
本田, FREED HYBRID,2017,available,"$148,000",1500cc,呀田,https://djlfajk23a.28car.com/image/pic.gif,未出牌、罕有5座位、雙電動趟門、藍芽音響連泊車鏡頭、特大尾箱...
豐田, SIENTA,2017,available,"$118,000",1500cc,呀田,https://djlfajk23a.28car.com/image/pic.gif,1字、行貨、有牌費、原廠黑皮坐椅、頂級電話藍芽連泊車鏡頭 、...
任何, MODEL X P100D,2017,available,"$659,999",999cc,Kumar,https://djlfajk23a.28car.com/image/pic.gif,"1 Owner, Extended Warranty unt..."
日產, NOTE EPOWER,2021,available,"$165,000",1198cc,古生,https://djlfajk23a.28car.com/image/pic.gif,牌费至23年9月
本田, FREED GB5,2017,available,"$128,000",1500cc,Benny,https://djlfajk23a.28car.com/image/pic.gif,白色、1 手、行貨、遙控雙電趟門、車靚、免維修、藍芽車機、後...
寶馬, 316IA,2013,available,"$58,000",1600cc,呀田,https://djlfajk23a.28car.com/image/pic.gif,1字、有牌費、高級黑皮座椅、前後泊車感應、AUX插頭、USB...
任何, MODEL S 70 85,2015,available,"$218,000",888cc,陳,https://djlfajk23a.28car.com/image/pic.gif,0首 model S85、黑色、皮座、天窗、免匙啟動、牌至1...
豐田, RUMION 1.8S,2010,available,"$38,000",1797cc,uki,https://djlfajk23a.28car.com/image/pic.gif,已換兩條車軚偈油火咀皮帶等消耗品、有興趣歡迎約...
雙龍, MUSSO,2022,available,"$242,000",2157cc,Jason,https://djlfajk23a.28car.com/image/pic.gif,新改款農夫車、日本六速加減波箱、可調較四驅模式、低油耗、適合...
福士, GOLF GTI MK7,2015,available,"$80,000",2000cc,Peter,https://djlfajk23a.28car.com/image/pic.gif,行貨 8萬公里 Stage2 少改 MST Intake 黑...
豐田, ESTIMA AERAS,2012,available,"$64,800",2362cc,Peter,https://djlfajk23a.28car.com/image/pic.gif,1字 7座 3電門 雙天窗 長牌費11月 珍珠白 Keyle...
奧迪, TTRS,2017,available,"$468,000",2500cc,Mr,https://djlfajk23a.28car.com/image/pic.gif,114萬牌簿 400匹 B&O音響 電子sport喉 Vir...
豐田, SIENTA,2017,sold,"$99,000",1500cc, ,https://djlfajk23a.28car.com/image/pic.gif,行貨0首、56000km原廠保養無需維修、keyless、雙... (由於已售
日產, XTRAIL PLUS,2018,available,"$148,000",1997cc,dicky,https://djlfajk23a.28car.com/image/pic.gif,0首、紅色、黑籠、天幕天窗、電尾冚、泊車感應...
迷你, MINI Cooper CLUBMAN,2018,available,"$158,000",1499cc,dicky,https://djlfajk23a.28car.com/image/pic.gif,灰色、黑籠、天幕天窗、泊車感應、後拍鏡頭、保養極佳、咪數極少...
保時捷, MACAN S,2018,available,"$488,000",2997cc,dicky,https://djlfajk23a.28car.com/image/pic.gif,"0首、藍色、米籠、泊車感應、後拍鏡頭、19""合金..."
豐田, HIACE,2014,sold,"$143,000",3000cc, ,https://djlfajk23a.28car.com/image/pic.gif,自動波、首次登記27/3/2014、25萬公里、操作精神、冷... (由於已售
任何, Z400,2021,available,"$43,800",399cc,Ken,https://djlfajk23a.28car.com/image/pic.gif,0首 13000km 寶麗來車cam Givi 尾箱 原廠死...
日產, NOTE EPOWER,2018,available,"$138,000",1200cc,kent,https://djlfajk23a.28car.com/image/pic.gif,未出牌 超慳油內燃引擎 29km/L 後泊鏡頭 越線警報 恆...
福士, PASSAT CC 2.0T,2014,available,"$42,000",2000cc,邱小姐,https://djlfajk23a.28car.com/image/pic.gif,行貨1首車天窗Engine-Start�ㄟ坁膝|turbo引擎...
本田, FREED HYBRID,2017,available,"$148,000",1500cc,呀田,https://djlfajk23a.28car.com/image/pic.gif,未出牌、罕有5座位、雙電動趟門、藍芽音響連泊車鏡頭、特大尾箱...
豐田, SIENTA,2017,available,"$118,000",1500cc,呀田,https://djlfajk23a.28car.com/image/pic.gif,1字、行貨、有牌費、原廠黑皮坐椅、頂級電話藍芽連泊車鏡頭 、...
任何, MODEL X P100D,2017,available,"$659,999",999cc,Kumar,https://djlfajk23a.28car.com/image/pic.gif,"1 Owner, Extended Warranty unt..."
日產, NOTE EPOWER,2021,available,"$165,000",1198cc,古生,https://djlfajk23a.28car.com/image/pic.gif,牌费至23年9月
本田, FREED GB5,2017,available,"$128,000",1500cc,Benny,https://djlfajk23a.28car.com/image/pic.gif,白色、1 手、行貨、遙控雙電趟門、車靚、免維修、藍芽車機、後...
寶馬, 316IA,2013,available,"$58,000",1600cc,呀田,https://djlfajk23a.28car.com/image/pic.gif,1字、有牌費、高級黑皮座椅、前後泊車感應、AUX插頭、USB...
任何, MODEL S 70 85,2015,available,"$218,000",888cc,陳,https://djlfajk23a.28car.com/image/pic.gif,0首 model S85、黑色、皮座、天窗、免匙啟動、牌至1...
